idhog,idper,estrato,comuna,sexo,edad,educ,ascendencia,salud,pobre,ingreso
2015000643,2,B ,17,H,45,9,AFRO       ,SI,NO,20046
2015000644,1,MA,2,H,60,13,BLANCA     ,NO,NO,61553
2015000644,3,MA,2,M,24,19,BLANCA     ,NO,NO,34053
2015000649,1,M ,13,H,29,6,BLANCA     ,NO,NO,22065
2015000649,2,M ,13,M,62,6,BLANCA     ,SI,NO,20000
2015000652,1,B ,12,H,24,9,BLANCA     ,NO,NO,26554
2015000659,1,M ,1,H,51,10,AFRO       ,NO,NO,26546
2015000659,2,M ,1,M,44,12,BLANCA     ,NO,NO,45000
2015000659,3,M ,1,M,18,7,BLANCA     ,NO,NO,12000
2015000660,1,A ,5,H,68,18,BLANCA     ,NO,NO,21554
2015000672,1,MA,5,H,31,23,BLANCA     ,NO,NO,90048
2015000674,1,MB,13,H,33,9,BLANCA     ,NO,NO,26546
2015000674,2,MB,13,M,31,9,BLANCA     ,NO,NO,21546
2015000675,1,MA,11,H,46,12,BLANCA     ,NO,NO,25953
2015000676,1,MA,2,H,26,12,BLANCA     ,NO,NO,12546
2015000676,2,MA,2,M,24,14,BLANCA     ,NO,NO,20846
2015000676,3,MA,2,M,23,13,BLANCA     ,NO,NO,17546
2015000680,1,M ,9,H,48,12,BLANCA     ,NO,NO,42000
2015000682,1,A ,5,H,38,13,AFRO       ,NO,NO,43628
2015000682,2,A ,5,M,35,15,BLANCA     ,NO,NO,44548
2015000682,3,A ,5,M,60,6,BLANCA     ,NO,NO,11548
2015000683,1,M ,12,H,68,12,BLANCA     ,NO,NO,11546
2015000683,2,M ,12,M,59,14,BLANCA     ,NO,NO,40000
2015000683,3,M ,12,H,25,12,BLANCA     ,NO,NO,25546
2015000685,2,MA,7,H,28,11,BLANCA     ,NO,NO,15554
2015000694,2,M ,15,M,40,6,BLANCA     ,SI,NO,23328
2015000694,5,M ,15,H,18,9,BLANCA     ,SI,NO,13553
2015000697,1,MA,5,M,27,18,BLANCA     ,NO,NO,47514
2015000699,1,B ,9,H,29,5,BLANCA     ,NO,SI,20353
2015000705,2,M ,13,M,30,8,BLANCA     ,NO,NO,10000
2015000706,1,MA,7,H,45,16,BLANCA     ,NO,NO,79554
2015000706,3,MA,7,M,35,13,BLANCA     ,NO,NO,15554
2015000710,1,MB,10,H,24,10,BLANCA     ,NO,NO,55698
2015000712,2,M ,17,M,52,11,BLANCA     ,NO,NO,24233
2015000712,3,M ,17,H,25,12,BLANCA     ,NO,NO,15553
2015000712,4,M ,17,H,27,9,BLANCA     ,NO,NO,28053
2015000714,1,MB,13,M,36,3,BLANCA     ,NO,SI,11553
2015000718,2,MA,5,M,37,19,BLANCA     ,NO,NO,56554
2015000720,1,M ,13,H,42,20,BLANCA     ,NO,NO,81554
2015000720,2,M ,13,M,38,16,BLANCA     ,NO,NO,24554
2015000723,1,MA,3,M,39,13,BLANCA     ,NO,NO,31553
2015000723,2,MA,3,H,46,16,BLANCA     ,NO,NO,21553
2015000726,1,B ,9,H,49,14,BLANCA     ,NO,NO,25712.66667
2015000726,2,B ,9,M,45,16,BLANCA     ,NO,NO,24426
2015000734,1,B ,10,H,66,8,BLANCA     ,NO,NO,10000
2015000741,1,M ,6,H,40,10,BLANCA     ,NO,NO,36346
2015000747,1,MA,5,H,48,12,BLANCA     ,NO,NO,55553
2015000750,1,MB,9,H,50,6,AFRO       ,NO,NO,18546
2015000750,2,MB,9,M,35,6,BLANCA     ,SI,NO,14151
2015000751,1,MA,2,M,42,18,BLANCA     ,NO,NO,74608
2015000751,2,MA,2,H,53,16,BLANCA     ,NO,NO,56554
2015000752,1,B ,9,H,45,8,BLANCA     ,NO,NO,22546
2015000752,3,B ,9,H,23,10,BLANCA     ,NO,NO,21546
2015000752,4,B ,9,M,24,10,BLANCA     ,NO,NO,13426
2015000762,1,MB,14,H,54,10,BLANCA     ,NO,NO,25000
2015000763,1,MB,9,M,30,12,BLANCA     ,NO,NO,11554
2015000763,2,MB,9,H,35,15,BLANCA     ,SI,NO,26000
2015000764,1,A ,5,H,42,18,BLANCA     ,NO,NO,36553
2015000764,2,A ,5,M,34,17,BLANCA     ,NO,NO,54553
2015000765,2,MB,11,M,36,8,BLANCA     ,NO,SI,14546
2015000770,1,M ,13,M,51,18,BLANCA     ,NO,NO,34816
2015000770,3,M ,13,M,26,10,BLANCA     ,NO,NO,15953
2015000775,1,M ,3,M,49,13,BLANCA     ,NO,NO,14493
2015000780,1,M ,11,H,57,6,BLANCA     ,NO,NO,46546
2015000786,1,M ,3,H,62,6,BLANCA     ,SI,NO,15000
2015000786,2,M ,3,H,29,8,BLANCA     ,SI,NO,15000
2015000791,2,A ,7,H,27,16,BLANCA     ,NO,NO,29054
2015000794,1,MB,2,M,54,17,BLANCA     ,NO,NO,30554
2015000808,1,B ,18,H,28,6,BLANCA     ,NO,NO,27754
2015000808,2,B ,18,M,25,10,BLANCA     ,NO,NO,16994
2015000811,3,B ,11,H,41,10,BLANCA     ,NO,NO,26546
2015000811,4,B ,11,M,38,8,BLANCA     ,SI,NO,10000
2015000811,5,B ,11,M,40,7,BLANCA     ,NO,NO,15966
2015000811,6,B ,11,M,59,7,BLANCA     ,SI,NO,17000
2015000812,1,MA,6,M,30,12,BLANCA     ,NO,NO,22553
2015000813,1,MA,16,M,43,15,BLANCA     ,NO,NO,38553
2015000813,3,MA,16,H,49,14,BLANCA     ,NO,NO,29553
2015000820,1,A ,2,M,56,20,BLANCA     ,NO,NO,45000
2015000821,1,MB,11,H,62,7,BLANCA     ,SI,NO,11800
2015000829,2,MB,18,M,62,8,BLANCA     ,NO,NO,15554
2015000829,3,MB,18,H,37,11,BLANCA     ,NO,NO,31554
2015000832,1,MB,18,M,39,9,BLANCA     ,NO,NO,15553
2015000852,2,M ,11,H,75,11,BLANCA     ,NO,NO,16553
2015000871,2,MB,17,M,32,10,BLANCA     ,NO,NO,21593
2015000873,1,MA,2,M,30,19,BLANCA     ,NO,NO,77598
2015000873,2,MA,2,H,34,18,BLANCA     ,NO,NO,61348
2015000877,1,M ,15,H,53,8,BLANCA     ,NO,NO,41030
2015000877,2,M ,15,M,52,12,BLANCA     ,NO,NO,31546
2015000877,3,M ,15,M,33,18,BLANCA     ,NO,NO,43546
2015000885,1,MA,5,M,27,17,BLANCA     ,NO,NO,22814
2015000886,1,MA,2,H,31,16,BLANCA     ,NO,NO,66654
2015000886,2,MA,2,M,27,12,BLANCA     ,NO,NO,20554
2015000890,1,M ,4,H,61,12,BLANCA     ,SI,NO,20000
2015000901,2,MA,2,M,27,15,BLANCA     ,NO,NO,27053
2015000906,1,MB,12,H,50,15,BLANCA     ,NO,NO,21546
2015000909,1,A ,15,H,61,11,BLANCA     ,NO,NO,25000
2015000909,3,A ,15,M,29,15,BLANCA     ,NO,NO,25753
2015000915,1,MB,12,H,47,13,BLANCA     ,SI,NO,21554
2015000915,2,MB,12,M,44,13,BLANCA     ,SI,NO,19554
2015000918,1,M ,14,H,24,12,BLANCA     ,NO,NO,37746
2015000918,2,M ,14,M,25,11,BLANCA     ,NO,NO,42746
2015000929,1,MA,4,M,23,15,BLANCA     ,NO,NO,14548
2015000929,2,MA,4,H,23,16,BLANCA     ,NO,NO,30048
2015000930,1,M ,17,H,61,9,BLANCA     ,NO,NO,21554
2015000931,1,M ,14,H,67,6,BLANCA     ,NO,NO,21554
2015000932,1,MA,5,H,67,17,BLANCA     ,NO,NO,52219.66667
2015000938,1,M ,13,H,38,12,BLANCA     ,NO,NO,35553
2015000940,1,M ,2,H,55,13,BLANCA     ,NO,NO,61553
2015000940,2,M ,2,M,55,12,BLANCA     ,NO,NO,26553
2015000945,1,MB,11,H,49,11,BLANCA     ,NO,NO,50546
2015000945,2,MB,11,M,45,11,BLANCA     ,NO,NO,19046
2015000962,1,MB,13,M,31,12,BLANCA     ,NO,NO,26434
2015000962,2,MB,13,H,34,11,BLANCA     ,NO,NO,21810
2015000969,1,A ,7,H,47,17,BLANCA     ,NO,NO,51554
2015000977,1,MB,10,H,39,15,AFRO       ,NO,NO,44216
2015000979,1,B ,10,M,39,9,BLANCA     ,NO,NO,44053
2015000979,2,B ,10,H,40,6,BLANCA     ,NO,NO,22553
2015000979,3,B ,10,H,19,8,BLANCA     ,NO,NO,13053
2015000991,1,MA,16,H,41,14,BLANCA     ,NO,NO,51553
2015000991,2,MA,16,M,39,10,BLANCA     ,NO,NO,19553
2015000993,1,MB,14,H,61,9,BLANCA     ,NO,NO,33554
2015000994,1,B ,10,H,50,18,BLANCA     ,NO,NO,37053
2015000996,2,MA,13,H,49,10,BLANCA     ,NO,NO,23553
2015000998,1,MA,1,M,57,16,OTRA       ,NO,NO,41546
2015001004,2,MB,14,H,55,12,BLANCA     ,NO,NO,31000
